id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
747583010203782067,Espetáculo de vista na Orla da Barra da Tijuca,4005407,Erika,,Barra da Tijuca,-230.141.761,-432.988.663,Entire home/apt,829,3,2,2022-11-15,1.28,29,352
791182852246038596,,325956962,AnyLife,,Centro,-2.291.059,-4.317.828,Entire home/apt,429,1,0,,,18,365
53667075,Suíte em Ipanema a 500 metros da Praia,106245642,Matheus,,Ipanema,-2.298.759,-4.319.366,Private room,1800,3,0,,,2,363
17449701,"quarto inteiro,. barra da tijuca.",17037327,Soeli,,Barra da Tijuca,-22.974,-4.339.327,Private room,454,1,13,2022-11-13,0.20,1,365
13712592,"Luxo no Leblon, varandão, vista mar, quadra praia.",80083203,Maria Isabel,,Leblon,-2.298.679,-4.321.987,Private room,1226,2,0,,,1,83
52238481,Apartamento no coração do Leblon,406013064,Marlen,,Leblon,-2.298.531,-4.322.373,Entire home/apt,1643,2,1,2021-10-11,0.07,5,357
2671491,Temporada para COPA 2014,13674980,Alice,,Catete,-2.292.718,-4.317.799,Entire home/apt,1500,1,0,,,1,365
2014169,Beautiful and large apartment in Leme!,10361048,Marcela,,Leme,-2.296.141,-4.316.857,Entire home/apt,943,5,19,2022-04-25,0.18,1,58
46900428,Copa Charmoso 2 quartos 8 pessoas,37238144,Rafaele Bispo,,Copacabana,-2.298.038,-4.318.963,Entire home/apt,866,5,37,2022-12-26,1.61,17,103
47900585,Studio a 5 minutos da Praia de Copacabana ㅤ,365760452,Rosi,,Copacabana,-2.296.965,-4.318.941,Entire home/apt,140,3,0,,,11,16
570230681883845137,Brazil Houses - Visconde 201_2quartos,10507162,Mauricio,,Ipanema,-2.298.576,-4.320.188,Entire home/apt,1490,28,1,2022-04-06,0.11,21,14
726141482062400993,Copacabana pé na  areia da praia 4 pessoas ou +,22085127,Davimar,,Copacabana,-229.837,-4.319.026,Entire home/apt,1577,3,0,,,6,362
725993436119505587,Copa 316,323602412,Fernanda,,Copacabana,-2.296.633,-4.318.255,Entire home/apt,1000,3,0,,,9,350
47918395,"Line Rio: Moderno1Qto a 5 min da Praia de Copacabana e do Leme, Design Elegante Com Smart Tv (LM01-198T)",79121205,Jefferson,,Leme,-2.296.257,-4.316.965,Entire home/apt,691,1,7,2022-12-08,0.30,1,32
786126273599335168,Apartamento na frente do mar,155819967,Carolina,,Copacabana,-229.824.024,-431.902.727,Entire home/apt,639,5,0,,,12,343
